City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Castro,BR,76.48,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
6,Maragogi,BR,80.56,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
8,Aljezur,PT,75.76,broken clouds,37.3191,-8.8033,Amazigh Hostel
10,Kapaa,US,76.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Itarema,BR,88.65,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
22,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Bandarbeyla,SO,80.01,light rain,9.4942,50.8122,JABIR HOTEL
24,Alice Town,BS,82.89,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
25,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
26,Jamestown,US,77.18,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Lamar,US,83.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
39,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
43,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
50,Jaen,ES,76.93,clear sky,38.0,-3.5,Hotel TRH Baeza
51,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
54,Huilong,CN,78.93,light rain,31.8111,121.655,Hilton Garden Inn Qidong
55,Marsaxlokk,MT,78.08,few clouds,35.8419,14.5431,Water's Edge
60,Robat Karim,IR,75.06,scattered clouds,35.4846,51.0829,لوازم خانگي شايان
62,Avera,US,78.85,overcast clouds,33.194,-82.5271,
63,Mizdah,LY,82.83,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
67,Puerto Penasco,MX,80.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
68,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
70,Cao Bang,VN,78.57,overcast clouds,22.6667,106.25,khách sạn 88
76,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
77,Glen Allen,US,78.1,overcast clouds,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
82,Butaritari,KI,81.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Hithadhoo,MV,83.97,broken clouds,-0.6,73.0833,Scoop Guest House
88,Waddan,LY,80.53,clear sky,29.1614,16.139,محل الشريف محمد العايب
92,Matara,LK,78.26,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
95,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
98,Caravelas,BR,82.4,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
104,Kampot,KH,75.25,light rain,10.6167,104.1833,Two Moons Hotel
112,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
116,Ponta Do Sol,PT,77.72,overcast clouds,32.6667,-17.1,Hotel do Campo
126,Atuona,PF,78.51,broken clouds,-9.8,-139.0333,Villa Enata
127,Kavieng,PG,78.62,moderate rain,-2.5744,150.7967,Nusa Island Retreat
140,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
143,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
146,Bo Phloi,TH,75.69,light rain,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
148,Cascais,PT,84.61,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
149,Ibra,OM,83.1,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
150,Banjar,ID,76.91,scattered clouds,-8.19,114.9675,The Hamsa Resort
152,Tirumullaivasal,IN,81.16,overcast clouds,11.2333,79.8333,Almupaark complex
159,Lorengau,PG,76.84,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
165,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
166,Marsh Harbour,BS,83.62,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
167,Bengkulu,ID,75.15,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,Shirgaon,IN,83.61,light rain,19.7,72.7,"Samarth Krupa Farm, Palghar"
171,Mecca,SA,88.95,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
177,Galdar,ES,75.7,scattered clouds,28.147,-15.6502,Hostel Guide
193,Kavaratti,IN,80.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
199,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
201,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
215,Ban Chang,TH,82.47,broken clouds,12.7254,101.0553,Grand Garden Hotel
217,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
218,Saint-Georges,GD,89.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
223,Faanui,PF,78.06,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
225,Odweyne,SO,82.76,overcast clouds,9.4092,45.064,Eng Hiirey House
227,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
235,Lazaro Cardenas,MX,85.75,overcast clouds,17.9583,-102.2,quinta antigua
236,San Javier,ES,76.24,few clouds,37.8063,-0.8374,Hotel Mar Menor
240,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
243,Kalamnuri,IN,75.94,clear sky,19.6667,77.3333,खंडोबा राव शेषराव गडदे
247,Harper,LR,80.38,scattered clouds,4.375,-7.7169,Screensaver
