City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,76.48,64,90,7.81,overcast clouds
1,Albany,US,42.6001,-73.9662,70.38,78,21,3.22,few clouds
2,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,11.5,light rain
3,Rikitea,PF,-23.1203,-134.9692,73.54,79,100,19.17,light rain
4,Ushuaia,AR,-54.8,-68.3,49.66,53,40,4.61,scattered clouds
5,Abu Dhabi,AE,24.4667,54.3667,89.71,74,0,8.05,clear sky
6,Maragogi,BR,-9.0122,-35.2225,80.56,73,95,11.43,overcast clouds
7,Miercurea-Ciuc,RO,46.35,25.8,42.64,82,35,5.7,scattered clouds
8,Aljezur,PT,37.3191,-8.8033,75.76,55,72,7.02,broken clouds
9,Turukhansk,RU,65.8167,87.9833,38.17,97,100,14.76,light rain
10,Kapaa,US,22.0752,-159.319,76.19,80,1,13.8,light rain
11,Dondo,MZ,-19.6094,34.7431,73.72,80,9,10.36,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,45,4.47,light rain
13,Abu Ghosh,IL,31.8059,35.1093,69.1,71,0,7.0,clear sky
14,Itarema,BR,-2.9248,-39.9167,88.65,57,48,19.26,scattered clouds
15,Prince Rupert,CA,54.3161,-130.3201,51.49,84,1,3.44,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,28.77,scattered clouds
17,Vardo,NO,70.3705,31.1107,50.2,76,75,8.05,broken clouds
18,Belyy Yar,RU,53.6039,91.3903,35.49,75,0,4.47,clear sky
19,Bluff,NZ,-46.6,168.3333,49.8,94,18,3.87,few clouds
20,Mao,ES,39.8885,4.2658,64.96,72,40,9.22,scattered clouds
21,Qaanaaq,GL,77.484,-69.3632,21.58,69,0,7.74,clear sky
22,Hilo,US,19.7297,-155.09,75.27,90,90,4.61,overcast clouds
23,Bandarbeyla,SO,9.4942,50.8122,80.01,80,31,19.53,light rain
24,Alice Town,BS,25.7167,-79.3,82.89,72,44,10.38,scattered clouds
25,Kununurra,AU,-15.7667,128.7333,76.98,69,59,0.0,broken clouds
26,Jamestown,US,42.097,-79.2353,77.18,70,75,3.0,broken clouds
27,Punta Alta,AR,-38.8759,-62.0736,56.41,37,11,8.95,few clouds
28,Lamar,US,33.6668,-95.5836,83.64,43,1,6.91,clear sky
